parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
799,3,200,0,4,4,126501.324528,126501.697377,0.372849,0x4055f0,0,100.000000,1,1,0.521384,1.200000,0.800000,cat,1,1,1,1,1712128,1712128,0,197820350464,197821251584,901120,197820350464,197821251584,901120,-1,-1,-1
799,3,200,1,4,4,126501.316826,126501.813206,0.496380,0x4055f0,40,100.000000,1,1,0.521384,1.200000,0.800000,cat,14,7ffe,1,1,40099840,40550400,450560,340106657792,340107468800,811008,340106657792,340107468800,811008,-1,-1,-1
799,3,200,2,4,4,126501.300557,126501.782832,0.482275,0x4055f0,48,100.000000,1,1,0.521384,1.200000,0.800000,cat,14,7ffe,1,1,37216256,37756928,540672,327172792320,327173783552,991232,327172792320,327173783552,991232,-1,-1,-1
799,3,200,3,4,4,126501.291822,126501.653784,0.361962,0x4055f0,56,100.000000,1,1,0.521384,1.200000,0.800000,cat,1,1,1,1,3514368,3244032,-270336,213326643200,213327364096,720896,213326643200,213327454208,811008,-1,-1,-1
800,4,200,0,4,4,126501.917551,126501.942130,0.024579,0x4056a0,0,100.000000,1,1,0.054534,1.200000,0.800000,cat,1,1,1,1,2072576,2252800,180224,197821702144,197821972480,270336,197821702144,197821972480,270336,-1,-1,-1
800,4,200,1,4,4,126501.937025,126501.963689,0.026664,0x4056a0,40,100.000000,1,1,0.054534,1.200000,0.800000,cat,14,7ffe,1,1,40550400,40550400,0,340107558912,340107558912,0,340107558912,340107558912,0,-1,-1,-1
800,4,200,2,4,4,126501.945154,126501.972085,0.026931,0x4056a0,48,100.000000,1,1,0.054534,1.200000,0.800000,cat,14,7ffe,1,1,37756928,37847040,90112,327173873664,327174053888,180224,327173873664,327174053888,180224,-1,-1,-1
800,4,200,3,4,4,126501.926893,126501.946493,0.019600,0x4056a0,56,100.000000,1,1,0.054534,1.200000,0.800000,cat,1,1,1,1,3063808,3063808,0,213327634432,213327634432,0,213327634432,213327634432,0,-1,-1,-1
801,5,200,0,4,4,126502.037333,126502.072357,0.035024,0x405707,0,100.000000,1,1,0.068626,1.200000,0.800000,cat,1,1,1,1,2252800,2252800,0,197821972480,197821972480,0,197821972480,197821972480,0,-1,-1,-1
801,5,200,1,4,4,126502.055585,126502.100552,0.044967,0x405707,40,100.000000,1,1,0.068626,1.200000,0.800000,cat,14,7ffe,1,1,40550400,40550400,0,340107558912,340107649024,90112,340107558912,340107649024,90112,-1,-1,-1
