parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mhz,measured_mhz,resource_applied,dvfs_enabled,region_wall_ms,dvfs_enable_ms,dvfs_disable_ms
1199,3,300,3,4,4,16861.044086,16861.287464,0.243378,0x404f80,56,4800.000000,-1.000000,0,0,0.291940,1.200000,0.800000
1200,4,300,0,4,4,16861.380885,16861.408601,0.027716,0x405030,0,4800.000000,-1.000000,0,0,0.027765,1.200000,0.800000
1200,4,300,1,4,4,16861.381407,16861.406908,0.025501,0x405030,8,4800.000000,-1.000000,0,0,0.027765,1.200000,0.800000
1200,4,300,2,4,4,16861.381351,16861.406471,0.025120,0x405030,48,4800.000000,-1.000000,0,0,0.027765,1.200000,0.800000
1200,4,300,3,4,4,16861.381278,16861.408650,0.027372,0x405030,56,4800.000000,-1.000000,0,0,0.027765,1.200000,0.800000
1201,5,300,0,4,4,16861.422705,16861.458600,0.035895,0x405097,0,4800.000000,-1.000000,0,0,0.036494,1.200000,0.800000
1201,5,300,1,4,4,16861.422581,16861.457758,0.035177,0x405097,8,4800.000000,-1.000000,0,0,0.036494,1.200000,0.800000
1201,5,300,2,4,4,16861.422897,16861.457180,0.034283,0x405097,48,4800.000000,-1.000000,0,0,0.036494,1.200000,0.800000
1201,5,300,3,4,4,16861.422763,16861.459075,0.036312,0x405097,56,4800.000000,-1.000000,0,0,0.036494,1.200000,0.800000
1598,2,400,0,4,4,22329.241556,22382.651747,46.598517,0x404f28,0,3776.876939,3704.151358,1,1,53.530352,1.200000,0.800000
1598,2,400,1,4,4,22329.241981,22382.771908,53.057472,0x404f28,8,4800.000000,4299.727053,1,1,53.530352,1.200000,0.800000
1598,2,400,2,4,4,22329.241888,22382.742878,52.131894,0x404f28,48,4800.000000,4299.707359,1,1,53.530352,1.200000,0.800000
1598,2,400,3,4,4,22329.242040,22382.643882,46.158393,0x404f28,56,3715.704817,3704.312582,1,1,53.530352,1.200000,0.800000
1599,3,400,0,4,4,22382.870578,22383.120279,0.249701,0x404f80,0,4800.000000,-1.000000,0,0,0.289837,1.200000,0.800000
1599,3,400,1,4,4,22382.871139,22383.160415,0.289276,0x404f80,8,4800.000000,-1.000000,0,0,0.289837,1.200000,0.800000
1599,3,400,2,4,4,22382.871026,22383.153891,0.282865,0x404f80,48,4800.000000,-1.000000,0,0,0.289837,1.200000,0.800000
1599,3,400,3,4,4,22382.871072,22383.113007,0.241935,0x404f80,56,4800.000000,-1.000000,0,0,0.289837,1.200000,0.800000
1600,4,400,0,4,4,22383.204359,22383.229001,0.024642,0x405030,0,4800.000000,-1.000000,0,0,0.027837,1.200000,0.800000
1600,4,400,1,4,4,22383.204505,22383.230587,0.026082,0x405030,8,4800.000000,-1.000000,0,0,0.027837,1.200000,0.800000
1600,4,400,2,4,4,22383.204445,22383.229830,0.025385,0x405030,48,4800.000000,-1.000000,0,0,0.027837,1.200000,0.800000
1600,4,400,3,4,4,22383.204598,22383.232196,0.027598,0x405030,56,4800.000000,-1.000000,0,0,0.027837,1.200000,0.800000
1601,5,400,0,4,4,22383.244509,22383.276389,0.031880,0x405097,0,4800.000000,-1.000000,0,0,0.036439,1.200000,0.800000
1601,5,400,1,4,4,22383.245026,22383.279784,0.034758,0x405097,8,4800.000000,-1.000000,0,0,0.036439,1.200000,0.800000
1601,5,400,2,4,4,22383.244833,22383.280395,0.035562,0x405097,48,4800.000000,-1.000000,0,0,0.036439,1.200000,0.800000
1601,5,400,3,4,4,22383.244437,22383.280876,0.036439,0x405097,56,4800.000000,-1.000000,0,0,0.036439,1.200000,0.800000
1998,2,500,0,4,4,27741.783317,27793.457426,44.259021,0x404f28,0,3812.724377,3805.963771,1,1,51.788809,1.200000,0.800000
1998,2,500,1,4,4,27741.783039,27793.571626,51.383181,0x404f28,40,4800.000000,4299.676337,1,1,51.788809,1.200000,0.800000
1998,2,500,2,4,4,27741.782817,27793.538214,50.339989,0x404f28,48,4800.000000,4299.710633,1,1,51.788809,1.200000,0.800000
1998,2,500,3,4,4,27741.783098,27793.448613,44.407616,0x404f28,56,3826.382245,3805.955503,1,1,51.788809,1.200000,0.800000
1999,3,500,0,4,4,27793.669909,27793.923234,0.253325,0x404f80,0,4800.000000,-1.000000,0,0,0.279422,1.200000,0.800000
1999,3,500,1,4,4,27793.670072,27793.949331,0.279259,0x404f80,40,4800.000000,-1.000000,0,0,0.279422,1.200000,0.800000
1999,3,500,2,4,4,27793.669974,27793.936273,0.266299,0x404f80,48,4800.000000,-1.000000,0,0,0.279422,1.200000,0.800000
1999,3,500,3,4,4,27793.670059,27793.904447,0.234388,0x404f80,56,4800.000000,-1.000000,0,0,0.279422,1.200000,0.800000
2000,4,500,0,4,4,27794.001416,27794.026256,0.024840,0x405030,0,4800.000000,-1.000000,0,0,0.026374,1.200000,0.800000
2000,4,500,1,4,4,27794.001567,27794.027790,0.026223,0x405030,40,4800.000000,-1.000000,0,0,0.026374,1.200000,0.800000
2000,4,500,2,4,4,27794.001463,27794.027653,0.026190,0x405030,48,4800.000000,-1.000000,0,0,0.026374,1.200000,0.800000
2000,4,500,3,4,4,27794.001793,27794.025236,0.023443,0x405030,56,4800.000000,-1.000000,0,0,0.026374,1.200000,0.800000
2001,5,500,0,4,4,27794.040062,27794.070529,0.030467,0x405097,0,4800.000000,-1.000000,0,0,0.036031,1.200000,0.800000
2001,5,500,1,4,4,27794.040347,27794.076093,0.035746,0x405097,40,4800.000000,-1.000000,0,0,0.036031,1.200000,0.800000
2001,5,500,2,4,4,27794.040125,27794.075036,0.034911,0x405097,48,4800.000000,-1.000000,0,0,0.036031,1.200000,0.800000
2001,5,500,3,4,4,27794.040179,27794.071858,0.031679,0x405097,56,4800.000000,-1.000000,0,0,0.036031,1.200000,0.800000
2398,2,600,0,4,4,32996.107308,33046.610358,42.811643,0x404f28,0,3904.734252,3902.277977,1,1,50.611868,1.200000,0.800000
2398,2,600,1,4,4,32996.107225,33046.718914,49.931468,0x404f28,8,4800.000000,4299.711691,1,1,50.611868,1.200000,0.800000
2398,2,600,2,4,4,32996.107046,33046.686478,49.123455,0x404f28,48,4800.000000,4299.677203,1,1,50.611868,1.200000,0.800000
2398,2,600,3,4,4,32996.107271,33046.598719,42.655843,0x404f28,56,3911.553880,3902.313990,1,1,50.611868,1.200000,0.800000
2399,3,600,0,4,4,33046.803222,33047.047581,0.244359,0x404f80,0,4800.000000,-1.000000,0,0,0.266829,1.200000,0.800000
2399,3,600,1,4,4,33046.803605,33047.070051,0.266446,0x404f80,8,4800.000000,-1.000000,0,0,0.266829,1.200000,0.800000
2399,3,600,2,4,4,33046.803665,33047.059733,0.256068,0x404f80,48,4800.000000,-1.000000,0,0,0.266829,1.200000,0.800000
2399,3,600,3,4,4,33046.803831,33047.027807,0.223976,0x404f80,56,4800.000000,-1.000000,0,0,0.266829,1.200000,0.800000
2400,4,600,0,4,4,33047.116631,33047.144345,0.027714,0x405030,0,4800.000000,-1.000000,0,0,0.027714,1.200000,0.800000
2400,4,600,1,4,4,33047.117062,33047.144118,0.027056,0x405030,8,4800.000000,-1.000000,0,0,0.027714,1.200000,0.800000
2400,4,600,2,4,4,33047.116812,33047.143633,0.026821,0x405030,48,4800.000000,-1.000000,0,0,0.027714,1.200000,0.800000
2400,4,600,3,4,4,33047.116860,33047.142926,0.026066,0x405030,56,4800.000000,-1.000000,0,0,0.027714,1.200000,0.800000
2401,5,600,0,4,4,33047.159015,33047.193638,0.034623,0x405097,0,4800.000000,-1.000000,0,0,0.036747,1.200000,0.800000
2401,5,600,1,4,4,33047.159175,33047.194647,0.035472,0x405097,8,4800.000000,-1.000000,0,0,0.036747,1.200000,0.800000
2401,5,600,2,4,4,33047.159083,33047.195520,0.036437,0x405097,48,4800.000000,-1.000000,0,0,0.036747,1.200000,0.800000
2401,5,600,3,4,4,33047.158773,33047.192547,0.033774,0x405097,56,4800.000000,-1.000000,0,0,0.036747,1.200000,0.800000
2798,2,700,0,4,4,38043.539369,38091.364751,41.559058,0x404f28,32,4097.061616,4090.658327,1,1,47.920444,1.200000,0.800000
2798,2,700,1,4,4,38043.539889,38091.459813,47.490594,0x404f28,40,4800.000000,4387.393877,1,1,47.920444,1.200000,0.800000
2798,2,700,2,4,4,38043.539481,38091.438759,46.788290,0x404f28,48,4800.000000,4385.237719,1,1,47.920444,1.200000,0.800000
2798,2,700,3,4,4,38043.539547,38091.363304,42.237772,0x404f28,56,3949.834877,3902.539922,1,1,47.920444,1.200000,0.800000
2799,3,700,0,4,4,38091.554075,38091.789082,0.235007,0x404f80,32,4800.000000,-1.000000,0,0,0.256876,1.200000,0.800000
2799,3,700,1,4,4,38091.554529,38091.810951,0.256422,0x404f80,40,4800.000000,-1.000000,0,0,0.256876,1.200000,0.800000
2799,3,700,2,4,4,38091.554171,38091.807430,0.253259,0x404f80,48,4800.000000,-1.000000,0,0,0.256876,1.200000,0.800000
2799,3,700,3,4,4,38091.554316,38091.773913,0.219597,0x404f80,56,4800.000000,-1.000000,0,0,0.256876,1.200000,0.800000
2800,4,700,0,4,4,38091.861993,38091.887655,0.025662,0x405030,32,4800.000000,-1.000000,0,0,0.029267,1.200000,0.800000
2800,4,700,1,4,4,38091.862211,38091.891260,0.029049,0x405030,40,4800.000000,-1.000000,0,0,0.029267,1.200000,0.800000
2800,4,700,2,4,4,38091.862382,38091.890552,0.028170,0x405030,48,4800.000000,-1.000000,0,0,0.029267,1.200000,0.800000
2800,4,700,3,4,4,38091.862080,38091.885542,0.023462,0x405030,56,4800.000000,-1.000000,0,0,0.029267,1.200000,0.800000
2801,5,700,0,4,4,38091.903466,38091.936109,0.032643,0x405097,32,4800.000000,-1.000000,0,0,0.042400,1.200000,0.800000
2801,5,700,1,4,4,38091.903550,38091.940963,0.037413,0x405097,40,4800.000000,-1.000000,0,0,0.042400,1.200000,0.800000
2801,5,700,2,4,4,38091.903252,38091.941544,0.038292,0x405097,48,4800.000000,-1.000000,0,0,0.042400,1.200000,0.800000
2801,5,700,3,4,4,38091.903707,38091.945652,0.041945,0x405097,56,4800.000000,-1.000000,0,0,0.042400,1.200000,0.800000
3198,2,800,0,4,4,42951.351944,43001.917881,42.507075,0x404f28,0,4324.284862,3765.274487,1,1,50.645709,1.200000,0.800000
3198,2,800,1,4,4,42951.351844,43001.997553,49.986477,0x404f28,40,4800.000000,3766.877552,1,1,50.645709,1.200000,0.800000
3198,2,800,2,4,4,42951.351949,43001.969794,49.339055,0x404f28,48,4800.000000,3771.080644,1,1,50.645709,1.200000,0.800000
3198,2,800,3,4,4,42951.352075,43001.902094,42.687041,0x404f28,56,4319.529241,3767.976154,1,1,50.645709,1.200000,0.800000
3199,3,800,0,4,4,43002.100341,43002.329761,0.229420,0x404f80,0,4800.000000,-1.000000,0,0,0.244590,1.200000,0.800000
