parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,8119.966467,8200.972838,47.034723,0x4055d2,32,100.000000,1,1,81.103351,1.200000,0.800000,cat,1,1,1,1,2613248,2433024,180224,8609030144,8690581504,81100800,8609030144,8690581504,81100800,-1,-1,-1
398,2,100,1,4,4,8119.969839,8201.059937,79.038221,0x4055d2,40,100.000000,1,1,81.103351,1.200000,0.800000,cat,14,7ffe,1,1,14958592,14237696,-90112,650067968,658178048,8110080,650067968,658178048,8110080,-1,-1,-1
398,2,100,2,4,4,8119.962139,8201.043574,78.468627,0x4055d2,16,100.000000,1,1,81.103351,1.200000,0.800000,cat,14,7ffe,1,1,11624448,10272768,0,727564288,732340224,4775936,727564288,732340224,4775936,-1,-1,-1
398,2,100,3,4,4,8119.956586,8200.969548,46.825601,0x4055d2,56,100.000000,1,1,81.103351,1.200000,0.800000,cat,1,1,1,1,991232,1171456,811008,7812800512,7899127808,84795392,7812800512,7899127808,84795392,-1,-1,-1
399,3,100,0,4,4,8201.215486,8201.429818,0.214332,0x405623,32,100.000000,1,1,0.307510,1.200000,0.800000,cat,1,1,1,1,2433024,2162688,-270336,8690941952,8691302400,360448,8691032064,8691302400,270336,-1,-1,-1
399,3,100,1,4,4,8201.221390,8201.502355,0.280965,0x405623,40,100.000000,1,1,0.307510,1.200000,0.800000,cat,14,7ffe,1,1,14327808,14598144,270336,658178048,658178048,0,658178048,658178048,0,-1,-1,-1
399,3,100,2,4,4,8201.194845,8201.478038,0.283193,0x405623,16,100.000000,1,1,0.307510,1.200000,0.800000,cat,14,7ffe,1,1,10272768,11173888,901120,732340224,732340224,0,732340224,732340224,0,-1,-1,-1
399,3,100,3,4,4,8201.201788,8201.403554,0.201766,0x405623,56,100.000000,1,1,0.307510,1.200000,0.800000,cat,1,1,1,1,1261568,1441792,180224,7899127808,7899488256,360448,7899127808,7899488256,360448,-1,-1,-1
400,4,100,0,4,4,8201.609068,8201.638436,0.029368,0x4056d3,32,100.000000,1,1,0.067437,1.200000,0.800000,cat,1,1,1,1,2342912,2252800,-90112,8691572736,8691572736,0,8691572736,8691572736,0,-1,-1,-1
400,4,100,1,4,4,8201.620978,8201.660205,0.039227,0x4056d3,40,100.000000,1,1,0.067437,1.200000,0.800000,cat,14,7ffe,1,1,14688256,14778368,90112,658178048,658178048,0,658178048,658178048,0,-1,-1,-1
400,4,100,2,4,4,8201.629078,8201.668720,0.039642,0x4056d3,16,100.000000,1,1,0.067437,1.200000,0.800000,cat,14,7ffe,1,1,11083776,11264000,180224,732340224,732340224,0,732340224,732340224,0,-1,-1,-1
400,4,100,3,4,4,8201.601283,8201.625933,0.024650,0x4056d3,56,100.000000,1,1,0.067437,1.200000,0.800000,cat,1,1,1,1,1351680,1351680,0,7899578368,7899578368,0,7899578368,7899578368,0,-1,-1,-1
401,5,100,0,4,4,8201.731381,8201.751843,0.020462,0x40573a,32,100.000000,1,1,0.059812,1.200000,0.800000,cat,1,1,1,1,2523136,2613248,90112,8691662848,8691662848,0,8691662848,8691662848,0,-1,-1,-1
401,5,100,1,4,4,8201.748699,8201.782699,0.034000,0x40573a,40,100.000000,1,1,0.059812,1.200000,0.800000,cat,14,7ffe,1,1,14688256,14688256,0,658178048,658178048,0,658178048,658178048,0,-1,-1,-1
401,5,100,2,4,4,8201.756431,8201.791193,0.034762,0x40573a,16,100.000000,1,1,0.059812,1.200000,0.800000,cat,14,7ffe,1,1,11444224,11444224,0,732340224,732340224,0,732340224,732340224,0,-1,-1,-1
