parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mhz,measured_mhz,resource_applied,dvfs_enabled,region_wall_ms,dvfs_enable_ms,dvfs_disable_ms
1199,3,300,3,4,4,8430.648462,8430.874073,0.225611,0x404f80,24,4800.000000,-1.000000,0,0,0.227866,1.200000,0.800000
1200,4,300,0,4,4,8430.907188,8430.926861,0.019673,0x405030,32,4800.000000,-1.000000,0,0,0.123066,1.200000,0.800000
1200,4,300,1,4,4,8430.907945,8430.933341,0.025396,0x405030,40,4800.000000,-1.000000,0,0,0.123066,1.200000,0.800000
1200,4,300,2,4,4,8430.908040,8431.030254,0.122214,0x405030,48,4800.000000,-1.000000,0,0,0.123066,1.200000,0.800000
1200,4,300,3,4,4,8430.908197,8431.003756,0.095559,0x405030,24,4800.000000,-1.000000,0,0,0.123066,1.200000,0.800000
1201,5,300,0,4,4,8431.044451,8431.064838,0.020387,0x405097,32,4800.000000,-1.000000,0,0,0.117959,1.200000,0.800000
1201,5,300,1,4,4,8431.045019,8431.074070,0.029051,0x405097,40,4800.000000,-1.000000,0,0,0.117959,1.200000,0.800000
1201,5,300,2,4,4,8431.045467,8431.162410,0.116943,0x405097,48,4800.000000,-1.000000,0,0,0.117959,1.200000,0.800000
1201,5,300,3,4,4,8431.044967,8431.143492,0.098525,0x405097,24,4800.000000,-1.000000,0,0,0.117959,1.200000,0.800000
1598,2,400,0,4,4,11164.153159,11190.590470,19.255299,0x404f28,32,1934.301477,2279.039008,1,1,26.647566,1.200000,0.800000
1598,2,400,1,4,4,11164.152844,11190.759295,25.880429,0x404f28,40,4800.000000,4431.491077,1,1,26.647566,1.200000,0.800000
1598,2,400,2,4,4,11164.152892,11190.800236,22.119106,0x404f28,16,829.543352,839.008966,1,1,26.647566,1.200000,0.800000
1598,2,400,3,4,4,11164.152670,11190.798593,21.867479,0x404f28,24,827.597520,839.000526,1,1,26.647566,1.200000,0.800000
1599,3,400,0,4,4,11190.881559,11190.958681,0.077122,0x404f80,32,4800.000000,-1.000000,0,0,0.224069,1.200000,0.800000
1599,3,400,1,4,4,11190.882100,11191.036837,0.154737,0x404f80,40,4800.000000,-1.000000,0,0,0.224069,1.200000,0.800000
1599,3,400,2,4,4,11190.882583,11191.105628,0.223045,0x404f80,16,4800.000000,-1.000000,0,0,0.224069,1.200000,0.800000
1599,3,400,3,4,4,11190.882231,11191.102340,0.220109,0x404f80,24,4800.000000,-1.000000,0,0,0.224069,1.200000,0.800000
1600,4,400,0,4,4,11191.135725,11191.155536,0.019811,0x405030,32,4800.000000,-1.000000,0,0,0.096330,1.200000,0.800000
1600,4,400,1,4,4,11191.136278,11191.161861,0.025583,0x405030,40,4800.000000,-1.000000,0,0,0.096330,1.200000,0.800000
1600,4,400,2,4,4,11191.136590,11191.231670,0.095080,0x405030,16,4800.000000,-1.000000,0,0,0.096330,1.200000,0.800000
1600,4,400,3,4,4,11191.136364,11191.232055,0.095691,0x405030,24,4800.000000,-1.000000,0,0,0.096330,1.200000,0.800000
1601,5,400,0,4,4,11191.243854,11191.264070,0.020216,0x405097,32,4800.000000,-1.000000,0,0,0.063285,1.200000,0.800000
1601,5,400,1,4,4,11191.244169,11191.274111,0.029942,0x405097,40,4800.000000,-1.000000,0,0,0.063285,1.200000,0.800000
1601,5,400,2,4,4,11191.244764,11191.307139,0.062375,0x405097,16,4800.000000,-1.000000,0,0,0.063285,1.200000,0.800000
1601,5,400,3,4,4,11191.244654,11191.306951,0.062297,0x405097,24,4800.000000,-1.000000,0,0,0.063285,1.200000,0.800000
1998,2,500,0,4,4,13950.542221,13977.874569,17.204440,0x404f28,32,1934.915069,2598.518264,1,1,27.456045,1.200000,0.800000
1998,2,500,1,4,4,13950.542002,13977.938820,26.692983,0x404f28,40,4800.000000,4301.047826,1,1,27.456045,1.200000,0.800000
1998,2,500,2,4,4,13950.541776,13977.997821,22.424946,0x404f28,16,827.876742,840.454013,1,1,27.456045,1.200000,0.800000
1998,2,500,3,4,4,13950.541838,13977.973833,21.881320,0x404f28,24,811.576960,837.463732,1,1,27.456045,1.200000,0.800000
1999,3,500,0,4,4,13978.126332,13978.267243,0.140911,0x404f80,32,4800.000000,-1.000000,0,0,0.169382,1.200000,0.800000
1999,3,500,1,4,4,13978.126305,13978.281267,0.154962,0x404f80,40,4800.000000,-1.000000,0,0,0.169382,1.200000,0.800000
1999,3,500,2,4,4,13978.126448,13978.295687,0.169239,0x404f80,16,4800.000000,-1.000000,0,0,0.169382,1.200000,0.800000
1999,3,500,3,4,4,13978.126370,13978.293764,0.167394,0x404f80,24,4800.000000,-1.000000,0,0,0.169382,1.200000,0.800000
2000,4,500,0,4,4,13978.332467,13978.352395,0.019928,0x405030,32,4800.000000,-1.000000,0,0,0.025587,1.200000,0.800000
2000,4,500,1,4,4,13978.332623,13978.357874,0.025251,0x405030,40,4800.000000,-1.000000,0,0,0.025587,1.200000,0.800000
2000,4,500,2,4,4,13978.332349,13978.350872,0.018523,0x405030,16,4800.000000,-1.000000,0,0,0.025587,1.200000,0.800000
2000,4,500,3,4,4,13978.332287,13978.350420,0.018133,0x405030,24,4800.000000,-1.000000,0,0,0.025587,1.200000,0.800000
2001,5,500,0,4,4,13978.369905,13978.390432,0.020527,0x405097,32,4800.000000,-1.000000,0,0,0.029287,1.200000,0.800000
2001,5,500,1,4,4,13978.370139,13978.399138,0.028999,0x405097,40,4800.000000,-1.000000,0,0,0.029287,1.200000,0.800000
