parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,4356.015335,4402.467513,25.427200,0x4055d2,32,100.000000,1,1,46.552739,1.200000,0.800000,cat,1,1,1,1,2793472,1982464,270336,3981058048,4021518336,40280064,3981148160,4021518336,39919616,-1,-1,-1
398,2,100,1,4,4,4356.000139,4402.545572,44.284559,0x4055d2,40,100.000000,1,1,46.552739,1.200000,0.800000,cat,15,7fff,1,1,7569408,7118848,180224,1394393088,1410703360,16310272,1394573312,1410703360,16130048,-1,-1,-1
398,2,100,2,4,4,4355.996866,4402.534741,44.279556,0x4055d2,16,100.000000,1,1,46.552739,1.200000,0.800000,cat,15,7fff,1,1,7659520,7659520,0,2806087680,2835374080,29196288,2806087680,2835374080,29196288,-1,-1,-1
398,2,100,3,4,4,4355.992833,4402.459110,24.034045,0x4055d2,56,100.000000,1,1,46.552739,1.200000,0.800000,cat,1,1,1,1,1351680,1081344,90112,2665152512,2694799360,29646848,2665152512,2694799360,29646848,-1,-1,-1
399,3,100,0,4,4,4402.686178,4402.904171,0.217993,0x405623,32,100.000000,1,1,0.330078,1.200000,0.800000,cat,1,1,1,1,1892352,1802240,-90112,4021788672,4022149120,360448,4021788672,4022149120,360448,-1,-1,-1
399,3,100,1,4,4,4402.679275,4402.985744,0.306469,0x405623,40,100.000000,1,1,0.330078,1.200000,0.800000,cat,15,7fff,1,1,7118848,7839744,720896,1410703360,1410883584,180224,1410703360,1410883584,180224,-1,-1,-1
399,3,100,2,4,4,4402.666091,4402.973277,0.307186,0x405623,16,100.000000,1,1,0.330078,1.200000,0.800000,cat,15,7fff,1,1,7659520,8019968,360448,2835374080,2835734528,360448,2835374080,2835734528,360448,-1,-1,-1
399,3,100,3,4,4,4402.655666,4402.860187,0.204521,0x405623,56,100.000000,1,1,0.330078,1.200000,0.800000,cat,1,1,1,1,1081344,811008,-270336,2694799360,2695069696,270336,2694799360,2695069696,270336,-1,-1,-1
400,4,100,0,4,4,4403.094450,4403.125760,0.031310,0x4056d3,32,100.000000,1,1,0.073099,1.200000,0.800000,cat,1,1,1,1,1892352,1982464,90112,4022779904,4022779904,0,4022779904,4022779904,0,-1,-1,-1
400,4,100,1,4,4,4403.109402,4403.156169,0.046767,0x4056d3,40,100.000000,1,1,0.073099,1.200000,0.800000,cat,15,7fff,1,1,7839744,8019968,180224,1410973696,1410973696,0,1410973696,1410973696,0,-1,-1,-1
400,4,100,2,4,4,4403.102609,4403.150553,0.047944,0x4056d3,16,100.000000,1,1,0.073099,1.200000,0.800000,cat,15,7fff,1,1,7929856,8019968,90112,2835824640,2835824640,0,2835824640,2835824640,0,-1,-1,-1
