parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,4327.255579,4371.389207,23.983156,0x4055d2,32,100.000000,1,1,44.186003,1.200000,0.800000,cat,1,1,1,1,1802240,1622016,-90112,4391067648,4436123648,44965888,4391067648,4436123648,44965888,-1,-1,-1
398,2,100,1,4,4,4327.253104,4371.432749,42.137066,0x4055d2,8,100.000000,1,1,44.186003,1.200000,0.800000,cat,14,7ffe,1,1,8200192,7839744,-90112,293675008,296468480,2793472,293675008,296468480,2793472,-1,-1,-1
398,2,100,2,4,4,4327.258574,4371.424076,41.902023,0x4055d2,16,100.000000,1,1,44.186003,1.200000,0.800000,cat,14,7ffe,1,1,6848512,6127616,-90112,52264960,52445184,180224,52264960,52445184,180224,-1,-1,-1
398,2,100,3,4,4,4327.246746,4371.384114,23.200237,0x4055d2,24,100.000000,1,1,44.186003,1.200000,0.800000,cat,1,1,1,1,1802240,1802240,720896,3724058624,3762626560,38477824,3724058624,3762626560,38477824,-1,-1,-1
399,3,100,0,4,4,4371.532303,4371.725604,0.193301,0x405623,32,100.000000,1,1,0.274684,1.200000,0.800000,cat,1,1,1,1,1622016,1802240,180224,4436213760,4436664320,450560,4436213760,4436664320,450560,-1,-1,-1
399,3,100,1,4,4,4371.555026,4371.806987,0.251961,0x405623,8,100.000000,1,1,0.274684,1.200000,0.800000,cat,14,7ffe,1,1,7839744,7839744,0,296468480,296558592,90112,296468480,296558592,90112,-1,-1,-1
399,3,100,2,4,4,4371.542584,4371.795178,0.252594,0x405623,16,100.000000,1,1,0.274684,1.200000,0.800000,cat,14,7ffe,1,1,6307840,6578176,270336,52445184,52445184,0,52445184,52445184,0,-1,-1,-1
399,3,100,3,4,4,4371.560680,4371.740629,0.179949,0x405623,24,100.000000,1,1,0.274684,1.200000,0.800000,cat,1,1,1,1,1802240,1802240,0,3762626560,3763077120,450560,3762626560,3763077120,450560,-1,-1,-1
400,4,100,0,4,4,4371.910500,4371.938910,0.028410,0x4056d3,32,100.000000,1,1,0.068215,1.200000,0.800000,cat,1,1,1,1,1441792,1351680,-90112,4437024768,4437114880,90112,4437024768,4437114880,90112,-1,-1,-1
400,4,100,1,4,4,4371.929418,4371.968712,0.039294,0x4056d3,8,100.000000,1,1,0.068215,1.200000,0.800000,cat,14,7ffe,1,1,7929856,7929856,0,296558592,296558592,0,296558592,296558592,0,-1,-1,-1
400,4,100,2,4,4,4371.923513,4371.963120,0.039607,0x4056d3,16,100.000000,1,1,0.068215,1.200000,0.800000,cat,14,7ffe,1,1,6668288,6578176,-90112,52445184,52445184,0,52445184,52445184,0,-1,-1,-1
400,4,100,3,4,4,4371.900497,4371.933979,0.033482,0x4056d3,24,100.000000,1,1,0.068215,1.200000,0.800000,cat,1,1,1,1,1982464,1982464,0,3763077120,3763077120,0,3763077120,3763077120,0,-1,-1,-1
401,5,100,0,4,4,4372.029207,4372.049828,0.020621,0x40573a,32,100.000000,1,1,0.057379,1.200000,0.800000,cat,1,1,1,1,1351680,1351680,0,4437114880,4437114880,0,4437114880,4437114880,0,-1,-1,-1
401,5,100,1,4,4,4372.046615,4372.078400,0.031785,0x40573a,8,100.000000,1,1,0.057379,1.200000,0.800000,cat,14,7ffe,1,1,7929856,8110080,180224,296558592,296648704,90112,296558592,296648704,90112,-1,-1,-1
401,5,100,2,4,4,4372.054451,4372.086586,0.032135,0x40573a,16,100.000000,1,1,0.057379,1.200000,0.800000,cat,14,7ffe,1,1,6578176,6578176,0,52445184,52445184,0,52445184,52445184,0,-1,-1,-1
401,5,100,3,4,4,4372.039762,4372.059616,0.019854,0x40573a,24,100.000000,1,1,0.057379,1.200000,0.800000,cat,1,1,1,1,1982464,1982464,0,3763077120,3763077120,0,3763077120,3763077120,0,-1,-1,-1
798,2,200,0,4,4,8655.622704,8699.203757,23.480984,0x4055d2,32,100.000000,1,1,43.657519,1.200000,0.800000,cat,1,1,1,1,2252800,1982464,90112,8889729024,8933343232,43614208,8889729024,8933343232,43614208,-1,-1,-1
798,2,200,1,4,4,8655.609651,8699.255198,41.240368,0x4055d2,40,100.000000,1,1,43.657519,1.200000,0.800000,cat,14,7ffe,1,1,8200192,7749632,90112,566173696,568877056,2703360,566173696,568877056,2703360,-1,-1,-1
798,2,200,2,4,4,8655.611613,8699.246001,41.633955,0x4055d2,16,100.000000,1,1,43.657519,1.200000,0.800000,cat,14,7ffe,1,1,6758400,6127616,90112,60014592,60104704,90112,60014592,60104704,90112,-1,-1,-1
798,2,200,3,4,4,8655.597679,8699.209827,22.856692,0x4055d2,24,100.000000,1,1,43.657519,1.200000,0.800000,cat,1,1,1,1,1622016,1802240,1351680,7587520512,7627980800,40460288,7587520512,7627980800,40460288,-1,-1,-1
799,3,200,0,4,4,8699.343769,8699.525908,0.182139,0x405623,32,100.000000,1,1,0.263424,1.200000,0.800000,cat,1,1,1,1,2252800,1892352,-360448,8933343232,8933703680,360448,8933343232,8933703680,360448,-1,-1,-1
799,3,200,1,4,4,8699.365979,8699.607193,0.241214,0x405623,40,100.000000,1,1,0.263424,1.200000,0.800000,cat,14,7ffe,1,1,7839744,8110080,270336,568877056,568967168,90112,568877056,568967168,90112,-1,-1,-1
799,3,200,2,4,4,8699.353202,8699.593809,0.240607,0x405623,16,100.000000,1,1,0.263424,1.200000,0.800000,cat,14,7ffe,1,1,6307840,6578176,270336,60104704,60104704,0,60104704,60104704,0,-1,-1,-1
799,3,200,3,4,4,8699.368947,8699.541549,0.172602,0x405623,24,100.000000,1,1,0.263424,1.200000,0.800000,cat,1,1,1,1,1802240,2072576,270336,7627980800,7628431360,450560,7627980800,7628431360,450560,-1,-1,-1
