parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,501.303925,506.969927,2.954734,0x4055d2,32,100.000000,1,1,5.705513,1.200000,0.800000,cat,1,1,1,1,1081344,1892352,1171456,95338496,95608832,180224,95338496,95608832,270336,-1,-1,-1
398,2,100,1,4,4,501.283391,506.973678,3.862673,0x4055d2,40,100.000000,1,1,5.705513,1.200000,0.800000,cat,15,7fff,1,1,270336,270336,270336,6758400,6848512,90112,6758400,6848512,90112,-1,-1,-1
398,2,100,2,4,4,501.271798,506.975176,3.848096,0x4055d2,48,100.000000,1,1,5.705513,1.200000,0.800000,cat,15,7fff,1,1,270336,450560,180224,12165120,12615680,450560,12165120,12615680,450560,-1,-1,-1
398,2,100,3,4,4,501.269663,506.964835,3.014254,0x4055d2,56,100.000000,1,1,5.705513,1.200000,0.800000,cat,1,1,1,1,90112,90112,0,9101312,9281536,180224,9101312,9281536,180224,-1,-1,-1
399,3,100,0,4,4,507.072948,507.213436,0.140488,0x405623,32,100.000000,1,1,0.206939,1.200000,0.800000,cat,1,1,1,1,1712128,1622016,-90112,95789056,95789056,0,95789056,95789056,0,-1,-1,-1
399,3,100,1,4,4,507.091953,507.279887,0.187934,0x405623,40,100.000000,1,1,0.206939,1.200000,0.800000,cat,15,7fff,1,1,180224,360448,180224,6848512,6848512,0,6848512,6848512,0,-1,-1,-1
399,3,100,2,4,4,507.084310,507.272821,0.188511,0x405623,48,100.000000,1,1,0.206939,1.200000,0.800000,cat,15,7fff,1,1,450560,360448,-90112,12615680,12615680,0,12615680,12615680,0,-1,-1,-1
399,3,100,3,4,4,507.081601,507.221236,0.139635,0x405623,56,100.000000,1,1,0.206939,1.200000,0.800000,cat,1,1,1,1,90112,90112,0,9281536,9281536,0,9281536,9281536,0,-1,-1,-1
400,4,100,0,4,4,507.360870,507.395308,0.034438,0x4056d3,32,100.000000,1,1,0.058919,1.200000,0.800000,cat,1,1,1,1,1171456,1171456,0,96149504,96149504,0,96149504,96149504,0,-1,-1,-1
400,4,100,1,4,4,507.380906,507.419789,0.038883,0x4056d3,40,100.000000,1,1,0.058919,1.200000,0.800000,cat,15,7fff,1,1,360448,360448,0,6848512,6848512,0,6848512,6848512,0,-1,-1,-1
