from_exec,to_exec,measure_interval_ms,resctrl_interval_ms,delta_interval_ms,delta_per_step_ms,cumulative_delta_from_exec100_start_ms,measure_end_interval_ms,resctrl_end_interval_ms,delta_end_interval_ms,delta_end_per_step_ms,cumulative_delta_from_exec100_end_ms
100,200,18198.098835,18380.938845000004,182.84001000000353,1.8284001000000354,182.84001000000353,18204.218352,18390.524716,186.30636400000003,1.8630636400000002,186.30636400000003
200,300,18396.125594999998,18233.110457999996,-163.01513700000214,-1.6301513700000214,19.82487300000139,18399.050557000002,18220.473262,-178.57729500000278,-1.7857729500000277,7.729068999997253
300,400,18344.859642999996,18175.655843000008,-169.2037999999884,-1.692037999999884,-149.37892699998702,18341.860671999995,18174.547678999996,-167.31299299999955,-1.6731299299999955,-159.5839240000023
400,500,18174.370580000003,18058.802487999987,-115.5680920000159,-1.155680920000159,-264.9470190000029,18170.711397000006,18071.22687700001,-99.48451999999816,-0.9948451999999816,-259.06844400000045
