from_exec,to_exec,measure_interval_ms,resctrl_interval_ms,delta_interval_ms,delta_per_step_ms,cumulative_delta_from_exec100_start_ms,measure_end_interval_ms,resctrl_end_interval_ms,delta_end_interval_ms,delta_end_per_step_ms,cumulative_delta_from_exec100_end_ms
100,200,18179.661179,18268.295224999998,88.63404599999922,0.8863404599999921,88.63404599999922,18186.563930999997,18271.854919,85.29098800000429,0.8529098800000429,85.29098800000429
200,300,18415.76038,18431.658422,15.898042000000714,0.15898042000000714,104.53208799999993,18417.401527,18429.252094999996,11.850567999994382,0.11850567999994382,97.14155599999867
300,400,18336.072633999996,18338.781771999995,2.7091379999983474,0.027091379999983473,107.24122599999828,18334.759449000005,18341.859189000003,7.099739999997837,0.07099739999997837,104.24129599999651
400,500,18166.79082400001,18196.992186000003,30.201361999992514,0.30201361999992515,137.4425879999908,18163.35510999999,18191.999977,28.64486700000998,0.2864486700000998,132.8861630000065
500,600,17439.968049999996,17511.425520999997,71.45747100000153,0.7145747100000154,208.90005899999232,17429.041537000012,17503.632568999994,74.59103199998208,0.7459103199998208,207.47719499998857
600,700,16383.884781999994,16468.215653000007,84.33087100001285,0.8433087100001285,293.2309300000052,16377.319565999991,16454.400024000002,77.08045800001128,0.7708045800001128,284.55765299999985
700,800,15844.03862800001,15941.952971999985,97.91434399997524,0.9791434399997524,391.1452739999804,15835.611281000005,15941.019256999993,105.40797599998768,1.0540797599998768,389.96562899998753
800,900,15299.582628999982,15417.881328000018,118.29869900003541,1.1829869900003542,509.44397300001583,15300.688480000012,15408.311614000006,107.62313399999402,1.0762313399999401,497.58876299998155
900,1000,14853.961832,14978.683113000006,124.72128100000555,1.2472128100000555,634.1652540000214,14843.384052999987,14980.980851,137.59679800001322,1.3759679800001323,635.1855609999948
