from_exec,to_exec,measure_interval_ms,resctrl_interval_ms,delta_interval_ms,delta_per_step_ms,cumulative_delta_from_exec100_start_ms,measure_end_interval_ms,resctrl_end_interval_ms,delta_end_interval_ms,delta_end_per_step_ms,cumulative_delta_from_exec100_end_ms
100,200,18314.486611000004,18121.035116999996,-193.4514940000081,-1.934514940000081,-193.4514940000081,18319.520275000003,18128.803638,-190.71663700000136,-1.9071663700000137,-190.71663700000136
200,300,18482.429193999997,18132.896321,-349.53287299999647,-3.4953287299999647,-542.9843670000046,18483.145876999995,18124.841233,-358.3046439999962,-3.5830464399999618,-549.0212809999975
300,400,18484.993034000006,18035.58621300001,-449.40682099999685,-4.494068209999969,-992.3911880000014,18485.133258,18027.968021,-457.16523700000107,-4.5716523700000105,-1006.1865179999986
400,500,18279.581745999996,17876.15421699999,-403.4275290000078,-4.034275290000078,-1395.8187170000092,18274.800325999997,17873.573462999993,-401.2268630000035,-4.012268630000035,-1407.4133810000021
500,600,17526.701413999996,17299.563979,-227.1374349999969,-2.2713743499999692,-1622.956152000006,17515.198002999998,17298.604606000008,-216.59339699998964,-2.1659339699998963,-1624.0067779999918
600,700,16466.279462000006,16374.827718,-91.45174400000542,-0.9145174400000542,-1714.4078960000115,16458.944628000012,16360.581537999999,-98.36309000001347,-0.9836309000001348,-1722.3698680000052
700,800,15996.511385999984,16065.923687000002,69.41230100001849,0.6941230100001848,-1644.995594999993,15991.69589399999,16066.566705000005,74.87081100001524,0.7487081100001524,-1647.49905699999
800,900,15405.820365000021,15581.580064000009,175.75969899998745,1.7575969899998745,-1469.2358960000056,15400.923976999999,15569.946040999988,169.02206399998977,1.6902206399998976,-1478.4769930000002
900,1000,15002.759812000004,15057.569782999984,54.80997099998058,0.5480997099998057,-1414.425925000025,14998.179781999992,15054.071396999992,55.891615000000456,0.5589161500000046,-1422.5853779999998
1000,1100,14046.249285999977,13869.708823000023,-176.5404629999539,-1.765404629999539,-1590.966387999979,14032.869522000023,13857.280479000008,-175.5890430000145,-1.755890430000145,-1598.1744210000143
1100,1200,13249.768712999998,13139.299498999986,-110.46921400001156,-1.1046921400001155,-1701.4356019999905,13243.21460799998,13131.803927,-111.41068099997938,-1.1141068099997937,-1709.5851019999936
1200,1300,12284.163069000002,12527.803817000007,243.64074800000526,2.4364074800000526,-1457.7948539999852,12277.152463000006,12520.442291000014,243.28982800000813,2.432898280000081,-1466.2952739999855
1300,1400,11618.07673500001,11694.494975999987,76.41824099997757,0.7641824099997757,-1381.3766130000076,11610.694407000003,11691.181137999985,80.48673099998268,0.8048673099998268,-1385.8085430000028
1400,1500,11041.383199000004,11627.64476700002,586.2615680000163,5.862615680000163,-795.1150449999914,11034.930714000016,11620.086532999994,585.1558189999778,5.8515581899997775,-800.652724000025
1500,1600,10320.581077999988,10383.944726999995,63.36364900000626,0.6336364900000626,-731.7513959999851,10313.148813999986,10374.844223000022,61.69540900003631,0.616954090000363,-738.9573149999887
1600,1700,9743.515944000013,9928.787047999998,185.27110399998492,1.8527110399998492,-546.4802920000002,9739.908175999997,9927.770462999993,187.8622869999963,1.8786228699999628,-551.0950279999925
1700,1800,9438.049716000009,9724.179116999992,286.1294009999838,2.861294009999838,-260.3508910000164,9436.421036999993,9718.808430000005,282.3873930000118,2.823873930000118,-268.70763499998066
1800,1900,9098.578269999998,9046.07778599998,-52.50048400001833,-0.5250048400001833,-312.85137500003475,9094.028960000025,9043.643663999974,-50.38529600005131,-0.5038529600005132,-319.09293100003197
1900,2000,8794.708879999991,8813.307499000046,18.598619000054896,0.18598619000054895,-294.25275599997985,8791.539067999984,8808.091070000024,16.552002000040375,0.16552002000040375,-302.5409289999916
