region_id,region,region_exec,measure_wall_ms,resctrl_wall_ms,delta_wall_ms,delta_wall_pct,measure_max_thread_ms,resctrl_max_thread_ms,delta_max_thread_ms,measure_mean_thread_ms,resctrl_mean_thread_ms,delta_mean_thread_ms,measure_imbalance_ms,resctrl_imbalance_ms,delta_imbalance_ms,measure_llc_miss_rate,resctrl_llc_miss_rate,delta_llc_miss_rate_pct_point,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_threads,resctrl_enabled_threads
2,heat_update,100,178.06748300000254,189.50838099999964,11.440897999997105,6.425034940263036,175.249072,181.74123,6.492157999999989,119.632115875,127.71466331250001,8.082547437500011,116.27957200000002,106.597734,-9.681838000000013,0.762919945774993,0.7797344943707278,1.6814548595734835,73.125,40.0,100.0,16,16
2,heat_update,200,187.13702500000363,191.54661399999895,4.4095889999953215,2.3563423646364132,183.257419,184.673222,1.415803000000011,124.25878312500001,156.9246453125,32.66586218749998,124.21269799999999,83.10801800000002,-41.10467999999997,0.7706474405238356,0.7902594261603094,1.9611985636473817,65.0,30.0,100.0,16,16
2,heat_update,300,183.18761499999528,193.58378499999526,10.396169999999984,5.675148944976576,182.308454,187.978326,5.669871999999998,123.66378350000001,154.608268625,30.944485124999986,123.355164,85.159293,-38.195871,0.7700835728395099,0.7902502954545675,2.0166722615057586,65.625,30.0,100.0,16,16
2,heat_update,400,181.59412699998938,181.8874519999954,0.29332500000600703,0.1615278009547215,180.070224,176.407875,-3.662349000000006,122.53428381250001,157.324616625,34.7903328125,121.206414,73.94258799999999,-47.26382600000001,0.7700855556797421,0.7929447523898928,2.2859196710150687,65.0,30.0,100.0,16,16
2,heat_update,500,177.149642999997,187.6593270000012,10.5096840000042,5.9326588651405725,176.459693,181.07993,4.620237000000003,120.2248123125,141.9391751875,21.714362875000006,118.34454899999999,80.12707999999999,-38.217468999999994,0.7668081981901745,0.7834954675239358,1.66872693337613,68.125,30.0,100.0,16,16
2,heat_update,600,167.91595100000268,169.27928200000315,1.3633310000004712,0.8119127407975968,166.397974,162.597636,-3.8003380000000107,114.77979725,136.8373095625,22.057512312499995,109.944863,65.044975,-44.899888000000004,0.754807382391362,0.7771326608207847,2.232527842942267,68.125,30.0,100.0,16,16
2,heat_update,700,159.2465749999974,162.76758600000176,3.521011000004364,2.2110434714243756,157.638497,158.202854,0.5643570000000011,109.8320316875,130.827767125,20.995735437500002,101.875325,60.588832,-41.28649300000001,0.7437582762372389,0.7681609412296289,2.4402664992389966,68.125,30.0,100.0,16,16
2,heat_update,800,154.23439100000542,154.29896799998824,0.06457699998281896,0.04186939084345767,153.033146,148.851971,-4.181174999999996,107.39004874999999,129.059221625,21.669172875,97.74588499999999,52.22008699999999,-45.525797999999995,0.7378180214229392,0.7651673426857731,2.734932126283396,68.125,30.0,100.0,16,16
2,heat_update,900,150.30594900000142,149.332304999989,-0.9736440000124276,-0.6477747597418239,149.389898,143.822077,-5.567820999999981,105.32890524999999,126.282663875,20.953758625000006,94.51082,48.48578400000001,-46.025035999999986,0.7323444157978125,0.7602111673929632,2.786675159515073,68.125,30.0,100.0,16,16
2,heat_update,1000,143.46885600002133,146.88675700000022,3.417900999978883,2.382329583765814,142.621528,142.454281,-0.16724700000000325,101.878073375,123.1294444375,21.2513710625,88.54184400000001,48.248772,-40.29307200000001,0.7241653383898752,0.7521492865975834,2.798394820770822,68.125,30.0,100.0,16,16
2,heat_update,1100,133.43672800000058,133.16738699999405,-0.26934100000653416,-0.2018492240056523,132.415053,126.974091,-5.440961999999999,96.618586375,117.4446605625,20.826074187499998,78.538995,35.137322999999995,-43.401672000000005,0.7088501505989447,0.7405735992573307,3.1723448658385944,68.125,30.0,100.0,16,16
2,heat_update,1200,124.69082899999921,127.96658399997978,3.2757549999805633,2.627101789483318,123.845256,120.447462,-3.3977940000000046,92.0381200625,111.77713125,19.739011187499997,70.964293,33.017786,-37.946507,0.6997994160804877,0.7320258126426382,3.222639656215054,68.75,30.0,100.0,16,16
2,heat_update,1300,116.42844699998386,120.6578580000205,4.2294110000366345,3.6326268270478788,115.54902,114.77564,-0.7733800000000031,87.3756565625,97.5110434375,10.135386875000009,63.088467,37.18023699999999,-25.90823000000001,0.6879567662298847,0.7083043453879533,2.034757915806862,71.875,30.0,100.0,16,16
2,heat_update,1400,111.04243399997358,112.96057300001848,1.9181390000449028,1.727392791160683,110.407288,107.376127,-3.0311609999999973,84.67352137499999,95.5942236875,10.920702312500012,58.21538399999999,29.759208,-28.456175999999992,0.680806801160802,0.7111622583550082,3.035545719420618,71.875,30.0,100.0,16,16
2,heat_update,1500,104.48919500000193,107.31319399998756,2.8239989999856334,2.7026708359515843,103.609876,100.78535,-2.824526000000006,81.4544803125,92.174123375,10.719643062499998,52.091492,24.313990999999987,-27.777501000000015,0.6752322747949137,0.7072129721166107,3.198069732169706,71.875,30.0,100.0,16,16
