region_id,region,common_events,measure_wall_mean_ms,resctrl_wall_mean_ms,delta_wall_mean_ms,delta_wall_mean_pct,delta_wall_sum_ms,faster_events,slower_events,delta_max_thread_mean_ms,delta_mean_thread_mean_ms,delta_imbalance_mean_ms,delta_llc_miss_rate_pct_point_mean,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_events,resctrl_applied_thread_rows
2,heat_update,20,136.59508019999868,140.41476094999743,3.8196807499987697,2.7963530929562768,76.3936149999754,2,18,-1.2614203000000004,17.344927221875,-31.04721285,2.84072817545354,69.875,30.0,100.0,20,320
3,importance,20,0.24409210000249004,0.26955315000304836,0.025461050000558316,10.43091931295547,0.5092210000111663,7,13,0.024831200000000005,0.009311146874999999,0.006554000000000002,-2.329842257045805,61.34375,20.0,100.0,0,0
4,mark_refine,20,0.03180719999909343,0.0475270500039187,0.015719850004825276,49.42230062776141,0.3143970000965055,1,19,0.01140385,0.0015293718749999996,0.0105293,-7.89450710124652,31.71875,20.0,100.0,0,0
5,mark_coarsen,20,0.026912200000333543,0.03072769999944285,0.0038154999991093065,14.177584883666212,0.07630999998218613,1,19,0.00269885,0.0010863343750000007,0.0019412000000000001,0.25669590288723404,63.625,40.0,100.0,0,0
