region_id,region,common_events,measure_wall_mean_ms,resctrl_wall_mean_ms,delta_wall_mean_ms,delta_wall_mean_pct,faster_events,slower_events,delta_max_thread_mean_ms,delta_mean_thread_mean_ms,delta_imbalance_mean_ms,delta_llc_miss_rate_pct_point_mean,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_events
2,heat_update,5,179.33073580000345,187.67746939999924,8.346733599995787,4.654379832191391,1,4,3.355516200000005,28.779907799999997,-39.56606239999999,1.3015032033049478,66.375,30.0,100.0,5
3,importance,5,0.2961539999996603,0.35508099999642584,0.05892699999676552,19.89741823403807,0,5,0.05879460000000001,0.010814774999999999,0.052209200000000004,1.4521446263206972,65.125,20.0,100.0,0
4,mark_refine,5,0.03150160000077449,0.04786679999670014,0.01636519999592565,51.95037710949063,0,5,0.0110312,0.0020285500000000005,0.00983,-2.2178319818357317,50.375,20.0,100.0,0
5,mark_coarsen,5,0.028869599998142804,0.033643999999912924,0.004774400001770119,16.53781140742254,1,4,0.0036399999999999996,0.0014564624999999997,0.0024234000000000005,5.992454907347399,69.25,40.0,100.0,0
