region_id,region,thread_id,common_events,measure_elapsed_mean_ms,resctrl_elapsed_mean_ms,delta_elapsed_mean_ms,delta_elapsed_mean_pct,faster_events,slower_events,delta_llc_miss_rate_pct_point_mean,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_rows
2,heat_update,0,20,54.33070085,88.4915149,34.16081405,62.875710262441785,0,20,-2.0630042535310085,31.5,30.0,40.0,20
2,heat_update,1,20,57.8741715,90.28641215,32.41224065,56.00467325912389,0,20,-3.04467527585261,33.0,30.0,40.0,20
2,heat_update,2,20,61.39539815,107.4247028,46.02930465,74.97191326545702,0,20,30.831453319753955,43.5,30.0,60.0,20
2,heat_update,3,20,66.02062415,107.79564045,41.7750163,63.27570639908892,0,20,21.7822096457722,45.0,30.0,60.0,20
2,heat_update,4,20,134.88035115,131.79059585,-3.0897552999999993,-2.290737882617085,17,3,4.5952764163737045,100.0,100.0,100.0,20
2,heat_update,5,20,133.90272415,132.39629175,-1.5064324,-1.125019979662602,14,6,4.654069258249644,100.0,100.0,100.0,20
2,heat_update,6,20,127.69924565,124.1463335,-3.5529121500000023,-2.7822499122178663,18,2,5.5741795680493365,100.0,100.0,100.0,20
2,heat_update,7,20,135.42414215,131.4523948,-3.971747350000001,-2.9328207562878785,19,1,1.3137777697905912,100.0,100.0,100.0,20
2,heat_update,8,20,133.13492195,130.9065558,-2.228366150000003,-1.6737653181911845,16,4,1.5411690983911424,100.0,100.0,100.0,20
2,heat_update,9,20,129.18382935,124.30701325,-4.876816100000001,-3.7750979550135164,19,1,-0.023383525277566042,100.0,100.0,100.0,20
2,heat_update,10,20,134.35112385,129.81764125,-4.533482599999998,-3.374354058296922,19,1,-0.6489173772530493,100.0,100.0,100.0,20
2,heat_update,11,20,133.85029625,130.0900675,-3.760228750000003,-2.809279363100403,20,0,0.2289956278669425,100.0,100.0,100.0,20
2,heat_update,12,20,66.5191208,107.2527241,40.7336033,61.23593157893933,0,20,8.613718351801749,43.5,30.0,60.0,20
2,heat_update,13,20,69.2527051,109.43125745,40.178552350000004,58.017303861246575,0,20,4.145365862073714,43.5,30.0,60.0,20
2,heat_update,14,20,68.9360835,108.9848172,40.0487337,58.09545838211131,0,20,4.690767476760494,43.5,30.0,60.0,20
2,heat_update,15,20,67.6036986,97.30400995,29.70031135,43.932968114262316,0,20,-33.034480559355764,34.5,30.0,40.0,20
3,importance,0,20,0.10793695,0.12290525,0.0149683,13.867632909768158,0,20,-4.513809553581877,22.0,20.0,50.0,0
3,importance,1,20,0.1017606,0.12694655,0.025185950000000002,24.750198013769573,0,20,-0.006270937775917629,22.0,20.0,50.0,0
3,importance,2,20,0.13657835000000002,0.1416706,0.005092250000000001,3.728445979908236,7,13,-2.672242343023598,22.0,20.0,50.0,0
3,importance,3,20,0.1493094,0.14577245,-0.0035369499999999983,-2.3688729577642116,13,7,-0.08949003594953367,23.5,20.0,60.0,0
3,importance,4,20,0.23764,0.2464816,0.008841600000000003,3.7205857599730696,9,11,-0.6335479187193516,100.0,100.0,100.0,0
3,importance,5,20,0.2323135,0.2567108,0.024397300000000004,10.501886459461032,1,19,4.91808619823751,100.0,100.0,100.0,0
3,importance,6,20,0.2264928,0.23602645,0.009533649999999992,4.209250801791488,5,15,1.8933678648743437,97.0,80.0,100.0,0
3,importance,7,20,0.24299595,0.24816305,0.005167099999999999,2.1264140410570627,15,5,-3.5004046654154553,100.0,100.0,100.0,0
3,importance,8,20,0.228632,0.2460413,0.017409299999999996,7.614550894013085,2,18,1.748310159745512,100.0,100.0,100.0,0
3,importance,9,20,0.225808,0.24125235,0.015444349999999999,6.839593814213845,2,18,-1.4598072582765764,100.0,100.0,100.0,0
3,importance,10,20,0.22617605,0.2517565,0.025580449999999998,11.309972917114788,0,20,0.7419404204779175,100.0,100.0,100.0,0
3,importance,11,20,0.23508735,0.2429092,0.007821850000000009,3.327210077445685,10,10,-3.853753701821989,100.0,100.0,100.0,0
3,importance,12,20,0.1460014,0.14827005,0.0022686499999999997,1.5538549630346008,7,13,0.5973140871475485,24.0,20.0,60.0,0
3,importance,13,20,0.1515819,0.15586715,0.004285249999999999,2.827019584792115,7,13,-0.05081894133426468,25.0,20.0,60.0,0
3,importance,14,20,0.1508773,0.156461,0.005583699999999995,3.7008217936031436,4,16,-2.152961509606344,24.0,20.0,60.0,0
3,importance,15,20,0.1443402,0.1252758,-0.019064400000000002,-13.207962854423094,18,2,-38.8861980681187,22.0,20.0,50.0,0
4,mark_refine,0,20,0.02946175,0.0408656,0.01140385,38.70730693186929,2,18,-12.672464937447941,100.0,100.0,100.0,0
4,mark_refine,1,20,0.0217045,0.02259995,0.0008954499999999999,4.1256421479416705,4,16,-7.2265840416729406,27.5,20.0,80.0,0
4,mark_refine,2,20,0.02155705,0.0219494,0.0003923500000000002,1.820054228199128,9,11,-28.597052350896334,25.5,20.0,80.0,0
4,mark_refine,3,20,0.0209283,0.02143395,0.0005056499999999993,2.4161064204928224,8,12,-25.20786175115374,25.5,20.0,80.0,0
4,mark_refine,4,20,0.023389649999999998,0.02426675,0.0008771000000000004,3.749949229680652,5,15,0.0715991536343968,27.5,20.0,80.0,0
4,mark_refine,5,20,0.02321475,0.02473455,0.0015197999999999995,6.546699835234063,2,18,0.30976491520498517,27.5,20.0,80.0,0
4,mark_refine,6,20,0.0236429,0.02455145,0.0009085500000000002,3.842802701868214,5,15,-2.041909348168053,27.5,20.0,80.0,0
4,mark_refine,7,20,0.0239947,0.02461315,0.0006184499999999999,2.577444185590984,8,12,-7.988237224790692,27.5,20.0,80.0,0
