parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mhz,measured_mhz,resource_applied
1599,3,400,2,4,4,1923.625628,1923.834833,0.209205,0x40504c,48,3908.438667,2599.875658,1
1599,3,400,3,4,4,1923.625494,1923.835599,0.210105,0x40504c,56,4300.000000,2599.876244,1
1600,4,400,0,4,4,1924.009193,1924.042959,0.033766,0x4050f7,0,4300.000000,3594.715208,1
1600,4,400,1,4,4,1924.007905,1924.032647,0.024742,0x4050f7,40,1153.160988,4300.000000,1
1600,4,400,2,4,4,1924.008334,1924.039277,0.030943,0x4050f7,48,800.000000,2601.706037,1
1600,4,400,3,4,4,1924.008209,1924.039020,0.030811,0x4050f7,56,800.000000,2599.145018,1
1601,5,400,0,4,4,1924.099359,1924.126721,0.027362,0x405149,0,800.000000,3609.180328,1
1601,5,400,1,4,4,1924.099653,1924.128834,0.029181,0x405149,40,4300.000000,4300.000000,1
1601,5,400,2,4,4,1924.099765,1924.130025,0.030260,0x405149,48,800.000000,2599.135063,1
1601,5,400,3,4,4,1924.099824,1924.130137,0.030313,0x405149,56,800.000000,2600.000000,1
1998,2,500,0,4,4,2390.421645,2393.720590,3.176462,0x40500b,0,3776.682135,3742.309564,1
1998,2,500,1,4,4,2390.420949,2393.720224,3.094233,0x40500b,40,4300.000000,4299.527181,1
1998,2,500,2,4,4,2390.420807,2393.717120,3.059618,0x40500b,48,2879.101739,2937.502207,1
1998,2,500,3,4,4,2390.420898,2393.719903,3.015203,0x40500b,56,2868.117229,2922.795306,1
1999,3,500,0,4,4,2393.790237,2393.975016,0.184779,0x40504c,0,1842.577322,3696.605321,1
1999,3,500,1,4,4,2393.790168,2393.971952,0.181784,0x40504c,40,1627.735568,4300.000000,1
1999,3,500,2,4,4,2393.790675,2393.977977,0.187302,0x40504c,48,3192.636879,2799.850355,1
1999,3,500,3,4,4,2393.790534,2393.983449,0.192915,0x40504c,56,4300.000000,2799.854719,1
2000,4,500,0,4,4,2394.158507,2394.194713,0.036206,0x4050f7,0,4300.000000,3695.934066,1
2000,4,500,1,4,4,2394.157161,2394.181731,0.024570,0x4050f7,40,1325.502844,4300.000000,1
2000,4,500,2,4,4,2394.157571,2394.188239,0.030668,0x4050f7,48,800.000000,2801.831262,1
2000,4,500,3,4,4,2394.157521,2394.187783,0.030262,0x4050f7,56,800.000000,2798.147536,1
2001,5,500,0,4,4,2394.251048,2394.278154,0.027106,0x405149,0,800.000000,3695.954810,1
2001,5,500,1,4,4,2394.251133,2394.280121,0.028988,0x405149,40,4300.000000,4301.490468,1
2001,5,500,2,4,4,2394.251417,2394.279775,0.028358,0x405149,48,800.000000,2799.003204,1
2001,5,500,3,4,4,2394.251476,2394.279692,0.028216,0x405149,56,800.000000,2800.000000,1
2398,2,600,0,4,4,2862.228780,2865.725165,3.188826,0x40500b,0,3680.279432,3664.284910,1
2398,2,600,1,4,4,2862.228290,2865.724520,3.167026,0x40500b,40,4300.000000,4206.762928,1
2398,2,600,2,4,4,2862.228223,2865.724357,3.186772,0x40500b,48,2750.732809,2829.738911,1
2398,2,600,3,4,4,2862.228310,2865.722760,3.267031,0x40500b,56,2632.481422,2733.363951,1
2399,3,600,0,4,4,2865.795474,2865.968973,0.173499,0x40504c,0,3124.059922,3950.570737,1
2399,3,600,1,4,4,2865.795372,2865.975354,0.179982,0x40504c,40,3366.705630,4300.239062,1
2399,3,600,2,4,4,2865.795743,2865.940236,0.144493,0x40504c,48,4020.084917,3782.555879,1
