parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,30774.078862,31087.358427,165.668423,0x4055d2,32,100.000000,1,1,313.886336,1.200000,0.800000,cat,1,1,1,1,2973696,1802240,-360448,47145066496,47626084352,479666176,47145066496,47626084352,479485952,-1,-1,-1
398,2,100,1,4,4,30774.064137,31087.949667,309.937633,0x4055d2,40,100.000000,1,1,313.886336,1.200000,0.800000,cat,14,7ffe,1,1,30728192,30367744,-90112,20379279360,20584194048,204914688,20379279360,20584194048,204914688,-1,-1,-1
398,2,100,2,4,4,30774.063573,31087.890526,308.739706,0x4055d2,48,100.000000,1,1,313.886336,1.200000,0.800000,cat,14,7ffe,1,1,29917184,29736960,3063808,24533893120,24792604672,258260992,24533893120,24792604672,258260992,-1,-1,-1
398,2,100,3,4,4,30774.063331,31087.347352,159.980532,0x4055d2,56,100.000000,1,1,313.886336,1.200000,0.800000,cat,1,1,1,1,1802240,1622016,1531904,49243684864,49751556096,507150336,49243774976,49751556096,507060224,-1,-1,-1
399,3,100,0,4,4,31088.120242,31088.431054,0.310812,0x405623,32,100.000000,1,1,0.397370,1.200000,0.800000,cat,1,1,1,1,1982464,2342912,360448,47626625024,47627796480,1171456,47626625024,47627796480,1171456,-1,-1,-1
399,3,100,1,4,4,31088.101504,31088.466860,0.365356,0x405623,40,100.000000,1,1,0.397370,1.200000,0.800000,cat,14,7ffe,1,1,30457856,30547968,90112,20584284160,20584734720,450560,20584284160,20584734720,450560,-1,-1,-1
399,3,100,2,4,4,31088.120051,31088.488903,0.368852,0x405623,48,100.000000,1,1,0.397370,1.200000,0.800000,cat,14,7ffe,1,1,29917184,30007296,90112,24792694784,24793325568,630784,24792694784,24793325568,630784,-1,-1,-1
399,3,100,3,4,4,31088.091533,31088.388938,0.297405,0x405623,56,100.000000,1,1,0.397370,1.200000,0.800000,cat,1,1,1,1,1622016,1441792,-180224,49751556096,49753448448,1892352,49751556096,49753448448,1892352,-1,-1,-1
400,4,100,0,4,4,31088.593751,31088.620829,0.027078,0x4056d3,32,100.000000,1,1,0.069797,1.200000,0.800000,cat,1,1,1,1,2703360,2793472,90112,47628787712,47628787712,0,47628787712,47628787712,0,-1,-1,-1
400,4,100,1,4,4,31088.609435,31088.649542,0.040107,0x4056d3,40,100.000000,1,1,0.069797,1.200000,0.800000,cat,14,7ffe,1,1,30457856,30638080,180224,20584734720,20584824832,90112,20584734720,20584824832,90112,-1,-1,-1
400,4,100,2,4,4,31088.624308,31088.663548,0.039240,0x4056d3,48,100.000000,1,1,0.069797,1.200000,0.800000,cat,14,7ffe,1,1,30097408,30097408,0,24793325568,24793325568,0,24793325568,24793325568,0,-1,-1,-1
400,4,100,3,4,4,31088.617700,31088.651916,0.034216,0x4056d3,56,100.000000,1,1,0.069797,1.200000,0.800000,cat,1,1,1,1,1441792,1531904,90112,49753448448,49753448448,0,49753448448,49753448448,0,-1,-1,-1
401,5,100,0,4,4,31088.731693,31088.752029,0.020336,0x40573a,32,100.000000,1,1,0.053059,1.200000,0.800000,cat,1,1,1,1,2703360,2793472,90112,47628787712,47628787712,0,47628787712,47628787712,0,-1,-1,-1
401,5,100,1,4,4,31088.734149,31088.767961,0.033812,0x40573a,40,100.000000,1,1,0.053059,1.200000,0.800000,cat,14,7ffe,1,1,30728192,30728192,0,20584824832,20584824832,0,20584824832,20584824832,0,-1,-1,-1
401,5,100,2,4,4,31088.750445,31088.784752,0.034307,0x40573a,48,100.000000,1,1,0.053059,1.200000,0.800000,cat,14,7ffe,1,1,30097408,30277632,180224,24793325568,24793325568,0,24793325568,24793325568,0,-1,-1,-1
